Series Name,Series Code,Country Name,Country Code,2014 [YR2014],Title, TestCol, TestCol
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Aruba,ABW,75.45109756,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Andorra,AND,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Afghanistan,AFG,60.37446341,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Angola,AGO,52.26687805,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Albania,ALB,77.83046341,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Arab World,ARB,70.56790191,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,United Arab Emirates,ARE,77.36817073,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Argentina,ARG,76.15860976,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Armenia,ARM,74.67570732,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,American Samoa,ASM,..,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Antigua and Barbuda,ATG,75.93763415,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Australia,AUS,82.25121951,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Austria,AUT,81.33658537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Azerbaijan,AZE,70.76321951,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burundi,BDI,56.69202439,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Belgium,BEL,80.58780488,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Benin,BEN,59.51058537,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Burkina Faso,BFA,58.58846341,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bangladesh,BGD,71.62590244,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bulgaria,BGR,75.40731707,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,Bahrain,BHR,76.68326829,,,
"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,"Bahamas, The",BHS,75.23365854,,,
